fecha;dia;hora;grados;cantidad
20110705;2;18;12;161
20110705;2;19;11;41
20110705;2;20;11;2
20110706;3;7;6;3
20110706;3;8;6;70
20110706;3;9;7;102
20110706;3;10;7;79
20110706;3;11;9;103
20110706;3;12;10;111
20110706;3;13;11;127
20110706;3;14;11;109
20110706;3;15;12;115
20110706;3;16;13;95
20110706;3;17;12;143
20110706;3;18;12;150
20110706;3;19;11;34
20110706;3;20;11;7
20110707;4;7;8;1
20110707;4;8;7;84
20110707;4;9;8;87
20110707;4;10;8;89
20110707;4;11;9;82
20110707;4;12;11;98
20110707;4;13;13;103
20110707;4;14;14;116
20110707;4;15;15;118
20110707;4;16;16;105
20110707;4;17;16;172
20110707;4;18;15;161
20110707;4;19;15;49
20110708;5;7;11;2
20110708;5;8;10;76
20110708;5;9;11;78
20110708;5;10;12;79
20110708;5;11;14;104
20110708;5;12;15;133
20110708;5;13;16;121
20110708;5;14;17;142
20110708;5;15;18;128
20110708;5;16;18;143
20110708;5;17;18;162
20110708;5;18;17;174
20110708;5;19;16;53
20110711;1;8;13;83
20110711;1;9;13;111
20110711;1;10;14;95
20110711;1;11;15;86
20110711;1;12;16;82
20110711;1;13;17;96
20110711;1;14;18;108
20110711;1;15;18;125
20110711;1;16;18;118
20110711;1;17;19;172
20110711;1;18;18;172
20110711;1;19;19;47
20110712;2;7;14;3
20110712;2;8;14;104
20110712;2;9;14;120
20110712;2;10;15;106
20110712;2;11;16;112
20110712;2;12;18;125
20110712;2;13;19;120
20110712;2;14;20;129
20110712;2;15;20;130
20110712;2;16;21;137
20110712;2;17;20;188
20110712;2;18;20;166
20110712;2;19;19;42
20110713;3;7;11;1
20110713;3;8;11;111
20110713;3;9;11;128
20110713;3;10;13;99
20110713;3;11;14;99
20110713;3;12;15;155
20110713;3;13;16;134
20110713;3;14;16;132
20110713;3;15;16;139
20110713;3;16;15;133
20110713;3;17;14;154
20110713;3;18;14;169
20110713;3;19;13;40
20110713;3;20;13;1
20110714;4;7;11;2
20110714;4;8;11;94
20110714;4;9;12;119
20110714;4;10;12;98
20110714;4;11;13;87
20110714;4;12;13;96
20110714;4;13;14;114
20110714;4;14;15;107
20110714;4;15;15;51
20110714;4;16;14;66
20110714;4;17;14;115
20110714;4;18;15;140
20110714;4;19;16;46
20110715;5;7;16;2
20110715;5;8;16;51
20110715;5;9;17;85
20110715;5;10;17;76
20110715;5;11;17;84
20110715;5;12;18;106
20110715;5;13;18;96
20110715;5;14;19;102
20110715;5;15;18;62
20110715;5;16;15;69
20110715;5;17;14;93
20110715;5;18;14;86
20110715;5;19;14;23
20110716;6;9;11;14
20110716;6;10;12;38
20110716;6;11;13;44
20110716;6;12;15;77
20110716;6;13;16;73
20110716;6;14;17;21
20110718;1;7;12;4
20110718;1;8;13;49
20110718;1;9;13;16
20110718;1;10;12;10
20110718;1;11;12;13
20110718;1;12;12;33
20110718;1;13;12;29
20110718;1;14;12;30
20110718;1;15;12;30
20110718;1;16;12;25
20110718;1;17;11;28
20110718;1;18;11;11
20110718;1;19;11;1
20110719;2;7;9;1
20110719;2;8;8;38
20110719;2;9;7;58
20110719;2;10;7;61
20110719;2;11;8;65
20110719;2;11;8;65
20110719;2;12;8;59
20110719;2;12;9;59
20110719;2;13;9;82
20110719;2;13;9;82
20110719;2;14;10;68
20110719;2;14;9;68
20110719;2;15;10;81
20110719;2;15;9;81
20110719;2;16;9;66
20110719;2;17;9;78
20110719;2;18;9;117
20110719;2;19;9;23
20110719;2;20;9;1
20110720;3;8;7;57
20110720;3;9;7;64
20110720;3;10;7;64
20110720;3;11;8;83
20110720;3;12;8;69
20110720;3;13;8;93
20110720;3;14;8;73
20110720;3;15;9;86
20110720;3;16;9;82
20110720;3;17;9;88
20110720;3;18;10;99
20110720;3;19;10;27
20110721;4;7;9;3
20110721;4;8;9;56
20110721;4;9;9;73
20110721;4;10;10;85
20110721;4;11;10;82
20110721;4;12;11;96
20110721;4;13;11;122
20110721;4;14;12;77
20110721;4;15;13;120
20110721;4;16;13;110
20110721;4;17;13;142
20110721;4;18;13;150
20110721;4;19;12;39
20110722;5;7;9;1
20110722;5;8;9;56
20110722;5;9;9;87
20110722;5;10;10;97
20110722;5;11;11;83
20110722;5;12;13;108
20110722;5;13;14;153
20110722;5;14;15;147
20110722;5;15;16;130
20110722;5;16;17;130
20110722;5;17;16;149
20110722;5;18;15;137
20110722;5;19;15;32
20110723;6;9;10;20
20110723;6;10;11;45
20110723;6;11;13;65
20110723;6;12;14;65
20110723;6;13;15;72
20110723;6;14;16;24
20110725;1;7;17;2
20110725;1;8;16;74
20110725;1;9;17;97
20110725;1;10;18;103
20110725;1;11;20;74
20110725;1;12;20;71
20110725;1;13;22;95
20110725;1;14;22;63
20110725;1;15;22;80
20110725;1;16;23;88
20110725;1;17;23;137
20110725;1;18;21;6
20110725;1;19;15;3
20110726;2;7;11;1
20110726;2;8;10;61
20110726;2;9;10;85
20110726;2;10;11;76
20110726;2;11;12;87
20110726;2;12;14;89
20110726;2;13;15;119
20110726;2;14;15;116
20110726;2;15;16;97
20110726;2;16;16;133
20110726;2;17;16;120
20110726;2;18;15;187
20110726;2;19;15;60
20110727;3;8;12;85
20110727;3;9;13;91
20110727;3;10;13;92
20110727;3;11;14;86
20110727;3;12;14;110
20110727;3;13;14;104
20110727;3;14;14;112
20110727;3;15;15;114
20110727;3;16;15;102
20110727;3;17;15;111
20110727;3;18;14;154
20110727;3;19;14;41
20110727;3;20;14;1
20110728;4;7;13;1
20110728;4;8;13;89
20110728;4;9;13;114
20110728;4;10;13;105
20110728;4;11;14;69
20110728;4;12;15;97
20110728;4;13;16;123
20110728;4;14;17;141
20110728;4;15;17;148
20110728;4;16;17;131
20110728;4;17;16;149
20110728;4;18;16;155
20110728;4;19;15;44
20110729;5;7;10;2
20110729;5;8;9;82
20110729;5;9;10;114
20110729;5;10;10;82
20110729;5;11;11;73
20110729;5;12;12;115
20110729;5;13;13;128
20110729;5;14;13;158
20110729;5;15;13;142
20110729;5;16;13;122
20110729;5;17;12;114
20110729;5;18;11;104
20110729;5;19;11;30
20110730;6;9;2;11
20110730;6;10;4;18
20110730;6;11;6;23
20110730;6;12;7;31
20110730;6;13;8;46
20110730;6;14;9;22
20110730;6;15;9;1
20110801;1;7;4;4
20110801;1;8;4;74
20110801;1;9;5;83
20110801;1;10;6;74
20110801;1;11;8;73
20110801;1;12;9;96
20110801;1;13;9;101
20110801;1;14;9;94
20110801;1;15;8;100
20110801;1;16;8;87
20110801;1;17;8;75
20110801;1;18;8;134
20110801;1;19;7;31
20110802;2;8;4;62
20110802;2;9;5;93
20110802;2;10;6;93
20110802;2;11;8;105
20110802;2;12;10;102
20110802;2;13;11;108
20110802;2;14;12;109
20110802;2;15;13;120
20110802;2;16;12;102
20110802;2;17;11;145
20110802;2;18;11;132
20110802;2;19;11;31
20110803;3;7;8;2
20110803;3;7;7;2
20110803;3;8;7;67
20110803;3;8;7;67
20110803;3;9;7;92
20110803;3;9;8;92
20110803;3;10;8;101
20110803;3;10;8;101
20110803;3;11;9;110
20110803;3;12;11;116
20110803;3;13;12;143
20110803;3;14;13;131
20110803;3;15;14;127
